Timestamp,Timestamp_formated,X,Y,Right Click,Left Click
0.0009965896606445312,1728756925:112,841,507,False,False
0.07075691223144531,1728756925:182,841,507,False,False
0.149766206741333,1728756925:261,841,496,False,False
0.22818446159362793,1728756925:339,846,491,False,False
0.3063194751739502,1728756925:417,846,491,False,False
0.38361430168151855,1728756925:495,852,491,False,False
0.46118998527526855,1728756925:572,859,493,False,False
0.5386321544647217,1728756925:650,859,493,False,False
0.6150248050689697,1728756925:726,867,497,False,False
0.693084716796875,1728756925:804,875,501,False,False
0.7704489231109619,1728756925:881,883,506,False,False
0.849381685256958,1728756925:960,883,506,False,False
0.9273467063903809,1728756926:38,891,511,False,False
1.0044910907745361,1728756926:115,899,516,False,False
1.0821120738983154,1728756926:193,899,516,False,False
1.1607327461242676,1728756926:272,907,521,False,False
1.2383358478546143,1728756926:349,915,527,False,False
1.3155968189239502,1728756926:427,924,532,False,False
1.3945751190185547,1728756926:506,924,532,False,False
1.4726860523223877,1728756926:584,932,537,False,False
1.5509676933288574,1728756926:662,940,542,False,False
1.6281330585479736,1728756926:739,940,542,False,False
1.7064192295074463,1728756926:817,947,546,False,False
1.7845191955566406,1728756926:895,955,550,False,False
1.8620498180389404,1728756926:973,961,553,False,False
1.9393975734710693,1728756927:50,961,553,False,False
2.0162529945373535,1728756927:127,968,555,False,False
2.095573902130127,1728756927:207,973,557,False,False
2.1720476150512695,1728756927:283,973,557,False,False
2.2503952980041504,1728756927:361,979,558,False,False
2.329537868499756,1728756927:441,983,558,False,False
2.406238317489624,1728756927:517,986,557,False,False
2.483994960784912,1728756927:595,986,557,False,False
2.5621793270111084,1728756927:673,990,556,False,False
2.640338659286499,1728756927:751,992,554,False,False
2.716948986053467,1728756927:828,993,552,False,False
2.7947840690612793,1728756927:906,993,552,False,False
2.8727855682373047,1728756927:984,994,549,False,False
2.94942045211792,1728756928:60,994,546,False,False
3.028195858001709,1728756928:139,994,546,False,False
3.1046206951141357,1728756928:216,994,543,False,False
3.1833865642547607,1728756928:294,993,540,False,False
3.260289430618286,1728756928:371,992,536,False,False
3.337555170059204,1728756928:449,992,536,False,False
3.415769100189209,1728756928:527,990,533,False,False
3.4917712211608887,1728756928:603,988,530,False,False
3.569384813308716,1728756928:680,988,530,False,False
3.646082878112793,1728756928:757,985,527,False,False
3.724163293838501,1728756928:835,982,523,False,False
3.8019378185272217,1728756928:913,982,523,False,False
3.881350040435791,1728756928:992,979,521,False,False
3.95796537399292,1728756929:69,976,518,False,False
4.035357713699341,1728756929:146,972,516,False,False
4.112284421920776,1728756929:223,972,516,False,False
4.18960976600647,1728756929:301,969,514,False,False
4.268063545227051,1728756929:379,966,513,False,False
4.3463544845581055,1728756929:457,966,513,False,False
4.423707008361816,1728756929:535,962,511,False,False
4.501569032669067,1728756929:613,959,510,False,False
4.579187393188477,1728756929:690,956,510,False,False
4.656566858291626,1728756929:768,956,510,False,False
4.734046697616577,1728756929:845,953,509,False,False
4.8118977546691895,1728756929:923,951,509,False,False
