Timestamp,Timestamp_formated,X,Y,Right Click,Left Click
0.0009765625,1728764102:956,953,639,False,False
0.07153773307800293,1728764103:26,953,639,False,False
0.1503307819366455,1728764103:105,976,619,False,False
0.2284221649169922,1728764103:183,992,604,False,False
0.3046696186065674,1728764103:260,992,604,False,False
0.38391613960266113,1728764103:339,1002,593,False,False
0.46211719512939453,1728764103:417,1007,585,False,False
0.5386693477630615,1728764103:494,1007,585,False,False
0.6163923740386963,1728764103:571,1010,579,False,False
0.6948661804199219,1728764103:650,1010,575,False,False
0.7734265327453613,1728764103:728,1010,571,False,False
0.8522036075592041,1728764103:807,1010,571,False,False
0.9294795989990234,1728764103:884,1009,568,False,False
1.007903814315796,1728764103:963,1008,565,False,False
1.085350513458252,1728764104:40,1008,565,False,False
1.161994457244873,1728764104:117,1007,564,False,False
1.2401552200317383,1728764104:195,1007,562,False,False
1.3182191848754883,1728764104:273,1008,561,False,False
1.3976244926452637,1728764104:352,1008,561,False,False
1.4757392406463623,1728764104:431,1008,560,False,False
1.5541315078735352,1728764104:509,1010,559,False,False
1.6322739124298096,1728764104:587,1011,559,False,False
1.7094027996063232,1728764104:664,1011,559,False,False
1.7885596752166748,1728764104:743,1013,559,False,False
1.8659205436706543,1728764104:821,1015,560,False,False
1.9423720836639404,1728764104:897,1015,560,False,False
2.0192811489105225,1728764104:974,1016,560,False,False
2.096311092376709,1728764105:51,1018,561,False,False
2.1743574142456055,1728764105:129,1018,561,False,False
2.252807378768921,1728764105:208,1020,562,False,False
2.3313488960266113,1728764105:286,1021,563,False,False
2.4085423946380615,1728764105:363,1022,563,False,False
2.485217809677124,1728764105:440,1022,563,False,False
2.561587333679199,1728764105:516,1022,563,False,False
2.6387832164764404,1728764105:594,1022,564,False,False
2.7155697345733643,1728764105:670,1022,564,False,False
2.7932302951812744,1728764105:748,1022,563,False,False
2.8709399700164795,1728764105:826,1022,563,False,False
2.950139045715332,1728764105:905,1020,562,False,False
3.027716875076294,1728764105:983,1020,562,False,False
3.106257915496826,1728764106:61,1019,560,False,False
3.181932210922241,1728764106:137,1018,558,False,False
3.2596583366394043,1728764106:215,1018,558,False,False
3.3368968963623047,1728764106:292,1015,556,False,False
3.4151113033294678,1728764106:370,1013,553,False,False
3.493619203567505,1728764106:448,1010,550,False,False
3.5707943439483643,1728764106:526,1010,550,False,False
3.6498701572418213,1728764106:605,1007,546,False,False
3.729857921600342,1728764106:685,1004,542,False,False
3.807481050491333,1728764106:762,1004,542,False,False
3.8847076892852783,1728764106:840,1001,538,False,False
3.9626495838165283,1728764106:917,997,533,False,False
4.04089617729187,1728764106:996,993,529,False,False
4.118746280670166,1728764107:74,993,529,False,False
4.19641900062561,1728764107:151,989,524,False,False
4.272925138473511,1728764107:228,984,520,False,False
4.351006984710693,1728764107:306,984,520,False,False
4.428560256958008,1728764107:383,980,515,False,False
4.506548643112183,1728764107:461,975,510,False,False
4.5837602615356445,1728764107:539,970,506,False,False
4.66137957572937,1728764107:616,970,506,False,False
4.7392799854278564,1728764107:694,966,502,False,False
4.817397117614746,1728764107:772,960,498,False,False
4.894546031951904,1728764107:849,956,494,False,False
4.973101854324341,1728764107:928,956,494,False,False
5.050028085708618,1728764108:5,951,490,False,False
5.128510475158691,1728764108:83,946,487,False,False
5.205255746841431,1728764108:160,946,487,False,False
5.284088134765625,1728764108:239,941,484,False,False
5.363353967666626,1728764108:318,937,482,False,False
5.440685272216797,1728764108:396,937,482,False,False
5.519338846206665,1728764108:474,932,479,False,False
5.597426652908325,1728764108:552,928,478,False,False
5.675861835479736,1728764108:631,925,476,False,False
5.754004716873169,1728764108:709,925,476,False,False
5.83201789855957,1728764108:787,921,475,False,False
5.910334587097168,1728764108:865,919,473,False,False
5.989125967025757,1728764108:944,919,473,False,False
6.065673112869263,1728764109:21,916,473,False,False
6.143232345581055,1728764109:98,914,472,False,False
6.221035957336426,1728764109:176,912,471,False,False
6.298577547073364,1728764109:253,912,471,False,False
6.377033948898315,1728764109:332,911,471,False,False
6.455649137496948,1728764109:410,910,471,False,False
6.532592296600342,1728764109:487,910,471,False,False
6.609672546386719,1728764109:565,910,471,False,False
6.686829328536987,1728764109:642,910,471,False,False
6.764025688171387,1728764109:719,911,471,False,False
6.841139316558838,1728764109:796,911,471,False,False
6.918670415878296,1728764109:874,912,472,False,False
6.996029853820801,1728764109:951,913,472,False,False
7.07335352897644,1728764110:28,913,472,False,False
7.150751352310181,1728764110:106,915,473,False,False
7.2280755043029785,1728764110:183,917,474,False,False
7.3053059577941895,1728764110:260,920,475,False,False
7.3838841915130615,1728764110:339,920,475,False,False
7.462350845336914,1728764110:417,923,477,False,False
7.539638042449951,1728764110:494,926,478,False,False
7.61803126335144,1728764110:573,926,478,False,False
7.696535587310791,1728764110:651,929,480,False,False
7.774576902389526,1728764110:729,932,482,False,False
7.851930618286133,1728764110:807,935,484,False,False
7.929026126861572,1728764110:884,935,484,False,False
8.006794929504395,1728764110:962,939,485,False,False
8.08342981338501,1728764111:38,942,488,False,False
8.160933017730713,1728764111:116,942,488,False,False
8.23930287361145,1728764111:194,945,490,False,False
8.318185806274414,1728764111:273,948,493,False,False
8.39546251296997,1728764111:350,951,496,False,False
8.472225189208984,1728764111:427,951,496,False,False
8.551187992095947,1728764111:506,953,499,False,False
8.62868070602417,1728764111:584,956,501,False,False
8.70522928237915,1728764111:660,956,501,False,False
8.782174110412598,1728764111:737,958,504,False,False
8.859318971633911,1728764111:814,960,507,False,False
8.936135292053223,1728764111:891,961,510,False,False
9.01415205001831,1728764111:969,961,510,False,False
9.091908693313599,1728764112:47,963,513,False,False
9.167670488357544,1728764112:123,963,516,False,False
9.246063947677612,1728764112:201,963,516,False,False
9.323745489120483,1728764112:279,964,519,False,False
9.401293277740479,1728764112:356,963,521,False,False
9.478249073028564,1728764112:433,963,524,False,False
9.556257009506226,1728764112:511,963,524,False,False
9.634264945983887,1728764112:589,962,527,False,False
9.712550163269043,1728764112:667,960,530,False,False
9.79039716720581,1728764112:745,960,530,False,False
9.867761850357056,1728764112:823,958,533,False,False
9.947130680084229,1728764112:902,956,536,False,False
10.025008916854858,1728764112:980,953,539,False,False
10.101456642150879,1728764113:56,953,539,False,False
10.178698539733887,1728764113:134,950,542,False,False
10.257783889770508,1728764113:213,947,545,False,False
10.335599184036255,1728764113:290,947,545,False,False
10.41347360610962,1728764113:368,944,548,False,False
10.492276906967163,1728764113:447,941,551,False,False
10.569070816040039,1728764113:524,937,554,False,False
10.648000001907349,1728764113:603,937,554,False,False
10.726263284683228,1728764113:681,935,557,False,False
10.804269790649414,1728764113:759,933,560,False,False
10.881274938583374,1728764113:836,933,560,False,False
10.959805965423584,1728764113:915,932,561,False,False
11.036901712417603,1728764113:992,933,562,False,False
11.115240335464478,1728764114:70,935,561,False,False
11.192437410354614,1728764114:147,935,561,False,False
11.269757509231567,1728764114:225,939,557,False,False
11.348889350891113,1728764114:304,947,551,False,False
11.426002025604248,1728764114:381,947,551,False,False
11.502678632736206,1728764114:458,958,541,False,False
11.580024719238281,1728764114:535,975,526,False,False
11.658599853515625,1728764114:613,998,505,False,False
11.735872983932495,1728764114:691,998,505,False,False
11.815738439559937,1728764114:771,1029,478,False,False
11.893609046936035,1728764114:848,1073,445,False,False
11.970801591873169,1728764114:926,1073,445,False,False
12.048102140426636,1728764115:3,1073,445,False,False
