Timestamp,Timestamp_formated,X,Y,Right Click,Left Click
0.0,1726370939:126,758,694,False,False
0.0688161849975586,1726370939:195,762,666,False,False
0.14519095420837402,1726370939:271,766,641,False,False
0.2228105068206787,1726370939:349,766,641,False,False
0.29999232292175293,1726370939:426,762,643,True,False
0.37835049629211426,1726370939:505,762,643,False,False
0.4581432342529297,1726370939:584,762,643,False,False
0.5347175598144531,1726370939:661,762,643,False,False
0.6115992069244385,1726370939:738,762,643,False,False
0.6889193058013916,1726370939:815,767,643,False,False
0.7658417224884033,1726370939:892,776,647,False,False
0.8424451351165771,1726370939:969,783,650,False,False
0.9222795963287354,1726370940:48,787,652,False,False
1.0002520084381104,1726370940:126,787,653,False,False
1.0780537128448486,1726370940:204,787,653,False,False
1.156195878982544,1726370940:282,787,653,False,False
1.233227252960205,1726370940:359,787,653,False,False
1.3104186058044434,1726370940:437,787,653,False,False
1.3875455856323242,1726370940:514,787,653,False,False
1.465571641921997,1726370940:592,787,653,False,False
1.5426573753356934,1726370940:669,787,653,False,False
1.6205673217773438,1726370940:747,787,653,False,True
1.6975736618041992,1726370940:824,787,653,False,False
1.7763631343841553,1726370940:903,787,653,False,False
1.8561501502990723,1726370940:982,787,653,False,False
1.935328483581543,1726370941:61,787,653,False,False
2.0112524032592773,1726370941:137,787,653,False,False
2.0894932746887207,1726370941:216,787,653,False,False
2.1662254333496094,1726370941:292,787,653,False,False
2.2432219982147217,1726370941:369,787,653,False,False
2.320935010910034,1726370941:447,736,608,False,False
2.3987812995910645,1726370941:525,615,512,False,False
2.4754743576049805,1726370941:602,553,450,False,False
2.5538060665130615,1726370941:680,507,412,False,False
2.6316773891448975,1726370941:758,492,398,False,False
2.708674907684326,1726370941:835,478,388,False,False
2.7860054969787598,1726370941:912,466,378,False,False
2.8640544414520264,1726370941:990,460,373,False,False
2.941103458404541,1726370942:67,460,373,False,False
3.019094228744507,1726370942:145,460,373,False,False
3.0964975357055664,1726370942:223,460,373,False,False
3.1747450828552246,1726370942:301,460,373,False,False
3.252384901046753,1726370942:379,460,373,False,False
3.3306024074554443,1726370942:457,460,373,False,True
3.409726858139038,1726370942:536,460,373,False,False
3.487492084503174,1726370942:614,460,373,False,True
3.5645029544830322,1726370942:691,460,373,False,False
3.6416053771972656,1726370942:768,460,373,False,False
3.719637632369995,1726370942:846,460,373,False,False
3.796022891998291,1726370942:922,460,373,False,False
3.875810384750366,1726370943:2,460,373,False,False
3.9531126022338867,1726370943:79,460,373,False,False
4.028909683227539,1726370943:155,460,373,False,False
4.105704307556152,1726370943:232,460,373,False,False
4.181501388549805,1726370943:308,460,373,False,False
4.257299423217773,1726370943:383,460,373,False,False
4.332101106643677,1726370943:458,460,373,False,False
4.407569169998169,1726370943:534,460,373,False,False
4.48436427116394,1726370943:611,460,373,False,False
4.561162710189819,1726370943:687,460,373,False,False
4.637959003448486,1726370943:764,460,373,False,False
4.715081453323364,1726370943:841,460,373,False,False
4.792786121368408,1726370943:919,464,365,False,False
4.870862722396851,1726370943:997,468,347,False,False
4.9501612186431885,1726370944:76,465,340,False,False
5.027953863143921,1726370944:154,385,407,False,False
5.105745077133179,1726370944:232,415,543,False,False
5.18402361869812,1726370944:310,629,555,False,False
5.260632276535034,1726370944:387,856,333,False,False
5.3384974002838135,1726370944:465,787,198,False,False
5.41834831237793,1726370944:545,524,388,False,False
5.496473550796509,1726370944:623,527,564,False,False
5.574398994445801,1726370944:701,686,396,False,False
5.653191089630127,1726370944:779,488,219,False,False
5.730600357055664,1726370944:857,373,505,False,False
5.809760093688965,1726370944:936,510,436,False,False
5.887627363204956,1726370945:14,466,190,False,False
5.965566396713257,1726370945:92,444,165,False,False
6.043409585952759,1726370945:170,477,150,False,False
6.123438835144043,1726370945:250,530,113,False,False
6.20022177696228,1726370945:326,530,111,False,False
6.276883363723755,1726370945:403,508,93,False,False
6.354249000549316,1726370945:480,490,74,False,False
6.432588338851929,1726370945:559,490,73,False,False
6.5103394985198975,1726370945:637,490,73,False,False
6.587109804153442,1726370945:713,490,73,False,False
6.665122747421265,1726370945:791,490,73,False,True
6.743220329284668,1726370945:869,490,73,False,False
6.820924282073975,1726370945:947,481,74,False,False
6.897431135177612,1726370946:24,220,133,False,False
6.975044012069702,1726370946:101,120,129,False,False
7.053087472915649,1726370946:179,97,127,False,False
7.130170106887817,1726370946:256,88,126,False,False
7.207991123199463,1726370946:334,88,124,False,False
7.285571575164795,1726370946:412,100,119,False,False
7.363927602767944,1726370946:490,108,118,False,False
7.441946029663086,1726370946:568,108,118,False,False
7.518109321594238,1726370946:644,108,118,False,False
7.59538722038269,1726370946:722,108,118,False,True
7.672224760055542,1726370946:798,108,118,False,False
7.749253511428833,1726370946:875,115,144,False,False
7.825056076049805,1726370946:951,185,266,False,False
7.904037952423096,1726370947:30,322,428,False,False
7.98044753074646,1726370947:107,409,483,False,False
8.058468341827393,1726370947:185,577,512,False,False
8.137310981750488,1726370947:263,721,517,False,False
8.213941097259521,1726370947:340,765,516,False,False
8.29239821434021,1726370947:419,837,605,False,False
8.369157552719116,1726370947:495,902,710,False,False
8.446930408477783,1726370947:573,902,711,False,False
8.523066759109497,1726370947:649,902,711,False,False
8.599256038665771,1726370947:725,902,711,False,False
8.677213191986084,1726370947:803,902,711,False,False
8.754010915756226,1726370947:880,902,711,False,False
8.831722736358643,1726370947:958,902,711,False,False
8.910051345825195,1726370948:36,902,711,False,True
8.988012313842773,1726370948:114,902,711,False,True
9.065049886703491,1726370948:191,902,711,False,False
9.144968271255493,1726370948:271,902,711,False,False
9.221936464309692,1726370948:348,902,711,False,False
9.299694776535034,1726370948:426,902,711,False,False
9.376554012298584,1726370948:503,902,711,False,False
9.45418095588684,1726370948:580,902,711,False,False
9.532057762145996,1726370948:658,902,711,False,False
9.610066413879395,1726370948:736,902,711,False,False
9.688988447189331,1726370948:815,902,711,False,False
9.767452001571655,1726370948:894,899,670,False,False
9.845412969589233,1726370948:972,857,512,False,False
9.923354387283325,1726370949:50,884,435,False,False
10.001107931137085,1726370949:127,930,415,False,False
10.077996015548706,1726370949:204,935,412,False,False
10.154006958007812,1726370949:280,935,412,False,False
10.231200218200684,1726370949:357,936,412,False,False
10.3089280128479,1726370949:435,937,412,False,False
10.385106801986694,1726370949:511,959,412,False,False
10.463889360427856,1726370949:590,989,412,False,False
10.54109525680542,1726370949:667,1016,412,False,False
10.617838621139526,1726370949:744,1041,414,False,False
10.693110466003418,1726370949:819,1065,418,False,False
10.771004676818848,1726370949:897,1085,423,False,False
10.849547147750854,1726370949:976,1098,425,False,False
10.927002191543579,1726370950:53,1105,429,False,False
11.004555940628052,1726370950:131,1100,472,False,False
11.083794116973877,1726370950:210,1035,544,False,False
11.159805059432983,1726370950:286,985,571,False,False
11.2377347946167,1726370950:364,955,588,False,False
11.315311670303345,1726370950:441,935,603,False,False
11.39307689666748,1726370950:519,935,603,False,False
11.469573259353638,1726370950:596,935,603,False,True
11.547330379486084,1726370950:673,935,603,False,False
11.62477970123291,1726370950:751,935,603,False,False
11.702489376068115,1726370950:829,935,603,False,False
11.778744459152222,1726370950:905,935,603,False,False
11.857164859771729,1726370950:983,935,603,False,False
11.93521523475647,1726370951:61,935,603,False,False
12.014026880264282,1726370951:140,935,603,False,True
